question,subject,choices,answer,c,b,d,a,e,cd,f,s,ab,the,Ð°,option,none,med,fat,ac,h,ass,g,sub,ret,in,Ñ,3,',not,inc,su,sup,2,4,bc,p,Ð±,int,i,pel,end,re,ct,no,ch,str,mem,m,membr,av,exc,ex,cl,1,(,r,met,v,an,sol,tr,alpha,t,diff,par,ant,ha,pol,opt,less,l,ad,th,at,men,act,cent,mid,k,w,n,case,my,0,o,ech,internal,super,im,cm,surg,ba,be,upper,van,middle,bl,ep,car,ul,tri,cycl
"A 67-year-old woman comes to the physician for a follow-up examination. She had a pulmonary embolism and required treatment in the hospital for 3 weeks. She had a retroperitoneal hemorrhage; anticoagulant therapy was temporarily discontinued, and she underwent placement of an inferior vena cava (IVC) filter. She had a hematoma that was resolving on discharge from the hospital 2 weeks ago. Today, she says she has had a persistent sensation of tingling and numbness of her left thigh that she did not report in the hospital because she thought it would go away; the sensation has improved somewhat during the past week. Her only medication is warfarin. Vital signs are within normal limits. Examination of the skin shows no abnormalities. Muscle strength is normal. Sensation to light touch is decreased over a 5 x 5-cm area on the lateral aspect of the left anterior thigh. Which of the following is the most likely cause of this patient's decreased sensation?",professional_medicine,"['Cerebral infarction during the hospitalization'
 'Complication of the IVC filter placement'
 'Compression of the lateral femoral cutaneous nerve'
 'Hematoma of the left thigh']",2,0.9694107918028384,0.0292756778545777,0.0010015790035455,0.0002532388304229,2.212776239722697e-05,2.1909451744143544e-06,1.6029297317667678e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39Â weeks' gestation in active labor. She had been having regular contractions every 4Â minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6Â hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100%Â effaced and 7Â cm dilated. The most likely diagnosis is",professional_medicine,"['Braxton Hicks contractions' 'lower uterine retraction ring'
 'hypotonic uterine dysfunction' 'primary dysfunctional labor']",2,0.0040340939085651,0.0051778623944004,0.9861635039516576,0.004566204724964,1.7530411734468202e-05,,6.058348184299091e-06,1.6305822931341812e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 5-year-old boy is brought to the physician by his mother because of a 2-day history of a low-grade fever, cough, and runny nose. His temperature is 38Â°C (100.4Â°F). Examination findings are consistent with a diagnosis of a common cold. The physician refers to a randomized, double-blind, placebo-controlled clinical trial that evaluated the effectiveness of a new drug for the treatment of the common cold. The mean time for resolution of symptoms for patients receiving the new drug was 6.4 days, compared with a mean time of 6.7 days for patients receiving the placebo (p=0.04). Which of the following is the most appropriate interpretation of these study results?",professional_medicine,"['The findings are clinically and statistically significant'
 'The findings are clinically insignificant but statistically significant'
 'The findings are clinically significant but statistically insignificant'
 'The findings are neither clinically nor statistically significant']",1,2.128052790478864e-05,0.0075763891134927,1.6573291796422273e-05,0.9923645944445256,,,,,2.88000627141921e-06,2.242951139431838e-06,6.426162605702506e-07,5.671068595037414e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 9-year-old boy is brought to the office by his parents for a well-child examination. The patient and his family immigrated to the United States 2 months ago and he has not been evaluated by a physician in 4 years. He has been generally healthy. Medical history is significant for pneumonia at age 3 years. He takes no medications. He is at the 25th percentile for height, weight, and BMI. Vital signs are temperature 37.0Â°C (98.6Â°F), pulse 82/min, respirations 20/min, and blood pressure 112/74 mm Hg. Cardiac examination discloses a grade 3/6 systolic murmur audible along the left sternal border at the third and fourth intercostal spaces. Femoral pulses are weak and brachial pulses are strong; there is a radiofemoral delay. Chest xray discloses mild cardiomegaly with left ventricular prominence. ECG shows left ventricular hypertrophy. This patient is at greatest risk for which of the following complications?",professional_medicine,"['Atrial fibrillation' 'Cor pulmonale' 'Systemic hypertension'
 'Tricuspid valve regurgitation']",2,0.2551868999572573,0.1205199362119018,0.082832060039012,0.5401733752020984,2.610352764401732e-05,,,,,,,,0.0009622723725624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 25-year-old woman comes to the physician because of a 2-month history of numbness in her right hand. During this period, she has had tingling in the right ring and small fingers most of the time. She has no history of serious illness and takes no medications. She is employed as a cashier and uses a computer at home. She played as a pitcher in a softball league for 5 years until she stopped 2 years ago. Vital signs are within normal limits. Examination shows full muscle strength. Palpation of the right elbow produces a jolt of severe pain in the right ring and small fingers. Sensation to pinprick and light touch is decreased over the medial half of the right ring finger and the entire small finger. The most likely cause of these findings is entrapment of which of the following on the right?",professional_medicine,"['Median nerve at the wrist' 'Musculocutaneous nerve at the forearm'
 'Radial nerve at the forearm' 'Ulnar nerve at the elbow']",3,0.0041338311490946,0.1991936426974424,0.0087513206113074,0.787828133524841,,,,,,,,,,1.3314190538937658e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six healthy subjects participate in a study of muscle metabolism during which hyperglycemia and hyperinsulinemia is induced. Muscle biopsy specimens obtained from the subjects during the resting state show significantly increased concentrations of malonyl-CoA. The increased malonyl-CoA concentration most likely directly inhibits which of the following processes in these subjects?,professional_medicine,"['Fatty acid oxidation' 'Fatty acid synthesis' 'Gluconeogenesis'
 'Glycogenolysis']",0,0.0001088042295196,0.0006665067105616,4.260834848612482e-05,0.9991365381860472,,,,,1.2866606362272753e-06,,1.369643117771662e-06,,,,3.285603036774508e-06,3.285603036774508e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 72-year-old woman with advanced ovarian cancer metastatic to the liver is brought to the physician by her son because she cries all the time and will not get out of bed. On a 10-point scale, she rates the pain as a 1 to 2. She also has hypertension and major depressive disorder. She has received chemotherapy for 2 years. Current medications also include oxycodone (10 mg twice daily), hydrochlorothiazide (25 mg/d), and fluoxetine (20 mg/d). She is 165 cm (5 ft 5 in) tall and weighs 66 kg (145 lb); BMI is 24 kg/m2 . Her temperature is 37Â°C (98.6Â°F), pulse is 110/min, respirations are 12/min, and blood pressure is 120/80 mm Hg. Examination shows a firm, distended abdomen with moderate tenderness over the liver. On mental status examination, she is oriented to person, place, and time. She has good eye contact but appears sad and cries easily. Which of the following is the most appropriate next step in management?",professional_medicine,"['Reassurance' 'Assess for suicidal ideation'
 'Begin dextroamphetamine therapy' 'Increase oxycodone dosage']",1,0.0002603179482254,0.99649568808635,6.18309322877538e-05,0.0031713203199153,4.434828097995564e-07,,,,,,,,,,,,5.694431996467259e-07,8.348550157971782e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A 65-year-old woman has a 6-month history of progressive irritability, palpitations, heat intolerance, frequent bowel movements, and a 6.8-kg (15-lb) weight loss. She has had a neck mass for more than 10 years. 131I scan shows an enlarged thyroid gland with multiple areas of increased and decreased uptake. Which of the following is the most likely diagnosis?",professional_medicine,"['Defect in thyroxine (T4) biosynthesis' ""Graves' disease""
 'Multinodular goiter' ""Riedel's thyroiditis""]",2,0.9421745813809296,0.0043623479981136,0.0531487857453914,0.0001916681944353,7.505834339585495e-05,,3.5105254357330534e-06,,,,,,,,,,,,3.5105254357330534e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 51-year-old man comes to the office because of a 6-month history of a lump on his tongue that is interfering with his speech and eating; he also has had a 6.8-kg (15-lb) weight loss during this period. He has smoked 1 pack of cigarettes daily and has consumed six 12-oz bottles of beer on weekend nights during the past 30 years. His vital signs are within normal limits. Physical examination shows a 1.5-cm mass on the apex of the tongue. Further evaluation of the mass confirms squamous cell carcinoma. It is most appropriate to evaluate which of the following lymph nodes first for evidence of metastasis in this patient?,professional_medicine,['Inferior deep cervical' 'Parotid' 'Retropharyngeal' 'Submental'],3,0.0032845413025526,0.0582198876322029,0.0275011276217929,0.9107464392519924,8.666645529145779e-06,,,,,,,,,,,,,,,0.0001104109030622,1.723568269940006e-05,1.521043659615145e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 42-year-old man comes to the physician for a follow-up examination 1 week after he passed a renal calculus. X-ray crystallographic analysis of the calculus showed calcium as the primary cation. Physical examination today shows no abnormalities. A 24-hour collection of urine shows increased calcium excretion. Which of the following is the most appropriate pharmacotherapy?,professional_medicine,"['Carbonic anhydrase inhibitor' 'Na+ âClâ symport inhibitor'
 'Na+ âK + â2Clâ symport inhibitor' 'Osmotic diuretic']",1,0.0519382325756712,0.0216434310884324,0.0061982784429297,0.9201033837702284,8.754141143732923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
