question,subject,choices,answer,b,c,d,a,bc,2,e,,f,s,g,r,',all,cd,none,the,ab,3,sol,i,h,not,4,does,1,abc,ac,ch,p,а,ad,vol,sub,option,progress,air,с,iv,iii,down,op,opportunity,more,external,ii,n,0,fact,an,false,w,cl,vertical,dim,ind,dec,in,dd
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.7768959320626334,0.22257548233133614,0.000429627669199437,3.526600345116149e-05,1.1449195034287655e-05,2.894809844759001e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.12965441338840533,0.005026656532002007,0.35241182764705337,0.5127729328067612,,,1.0329566702572051e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9998986380401022,6.604050888216072e-05,1.3706270346914327e-06,3.119532752192863e-05,1.3571045430040314e-07,1.1976405556845406e-07,,3.3768063699201716e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,0.00015607752803459596,0.009658266172785349,0.9849912587608546,0.005168577881461116,,,5.017103917581111e-06,,3.0430273489773088e-06,1.5301302436949894e-06,9.280709061545745e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.015745896316985315,0.09067953529961181,0.8598171462173726,0.033341756209197534,,,0.00028839615092135257,,1.6270197482731453e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.000967055091453018,0.001806696765221349,0.7289158552828531,0.2681857503216961,,,4.8146814995466414e-05,,6.515962844352238e-06,8.366661906341224e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.025281449095000613,0.83711514100154,0.06870415413242228,0.0687472128395794,,,5.193871507386639e-05,,5.827362328909914e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.00017788493222999912,0.007582605117117138,0.9909631433310405,0.001234765578754339,,,1.5543412153095673e-05,,2.5373922822151877e-06,,,3.258076182471616e-06,2.5373922822151877e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.16148202960314437,0.010327709174193516,0.008037865556074778,0.8200600670047931,,,1.2084436342577633e-05,,,,,,,6.468332659574906e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.003588517354650297,0.9947164484916964,0.0009653651529913179,0.0007062762335689141,,,3.945228616164565e-06,,,,6.242258128452018e-07,,,,1.363434526548528e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
