question,subject,choices,answer,d,c,b,a,4,four,e,д,f,how,cho,ch,choice,,/,',(,all,monitor,mon,me,mechanical,m,mechan,recogn,rec,seen,recognized,ack,not,bc,1,dem,the,democr,or,and,б,\,а,high,ab,ach,social,soc,s,aff,affe,inc,none,in,false,dis,discrimination,ad,discrim,these,those,given,options,provided,them,stream,sol,option,cultural,cul,active,r,ba,both,co,cd,aug,august,sub,re,decl,inst,institutional,agg,ag,aggreg,girl,g,select,is,wrong,african,ca,pos,cont,3,с,pl,comp,inter,move,ident,confirmed,considered,definit,determined,verified,concl,concluded,deemed,accepted,people,so,characteristics,nature,"""",group,members,individuals,response,gent,gen,n,sc,power,em,employment,assets,without,{',i,since,there,if,using,assuming,rules,function,func,class,one,self,h,school,bb,working,part,participant,player,any,2,this,econom,total,mass,stud,unknown,no,vertical,vert,v,leading,lead,le,mod,modern,income,ince,accept,deleg,de,sm,service,non,acc,ac,global,glob,w,bw,sal,family,description,expl,ex,br,brain,machine,l,bi,ber,an,govern,multi,fore,are,remains,for,by,fo,remain,absolute,abs,wide,glass,gl,organ,nc,nu,shared,sh,typically,found,typical,commonly,common,usually,associated,normally,generally,cl,conf,personal,confirm,aud,children,collect,rac,racism,racist,dec,decre,we,gener
Mass-society theory suggests that:,sociology,"['the content of the media is determined by market forces'
 'the subordinate classes are dominated by the ideology of the ruling class'
 ""the media manipulate 'the masses' as vulnerable, passive consumers""
 'audiences make selective interpretations of media messages']",2,0.9999769778635132,8.939546034502815e-06,7.889121685961138e-06,3.7265572149518444e-06,1.7603009852189593e-06,9.930948065960544e-08,9.930948065960544e-08,6.41190198481935e-08,5.315653448333944e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ecological approach to urban sociology involved studying:,sociology,"['how social groups colonized different areas of the city and competed for resources'
 'the forms of wildlife and natural habitats that could be found on the edges of the city'
 'the way in which people organized collective protests about environmental issues'
 ""how men and women used the city's public spaces differently""]",0,1.5520000995153723e-06,3.318322528989191e-05,7.477955254270453e-05,0.9990423850975635,,,,,,0.0008118376622865902,2.750986000046065e-05,1.7586465119254047e-06,7.331129368617882e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker proclaimed that cannabis use was:,sociology,"['increasing throughout all sections of youth in the 1970s'
 'learned gradually through the social processes of a deviant career'
 'a dangerous pastime that young people should not be allowed to pursue'
 'not as enjoyable as other sociologists had suggested']",1,4.784638254545247e-06,6.604989373836445e-05,0.9999090416183344,1.0675970999889848e-06,,,,,,,,,,3.288430575242099e-06,2.902029797015632e-06,2.1231703551654865e-06,1.3708218111679807e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The middle classes that developed over the nineteenth century were:,sociology,"['an urban set, involved in civic bodies and voluntary associations'
 'too diverse to have a strong sense of class consciousness'
 ""often involved in 'white collar' work"" 'all of the above']",3,0.9999913555328692,2.2603035397118435e-06,1.994710872696699e-06,3.089468636647581e-06,8.764147921156395e-08,,7.734333394213739e-08,4.1398903412289764e-08,,,,,,,,,,7.338131211462616e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technological forms of surveillance have made it easier to:,sociology,"[""access and exchange 'private' information about consumers""
 'reduce prison overcrowding by the use of electronic tagging'
 ""monitor employees' activities at work"" 'all of the above']",3,0.00033533340427272895,0.9996198129848443,2.143714732631978e-05,6.959622772614166e-06,,,3.057844838043033e-07,,,,,,,,,,,,1.2045758726970864e-05,5.712806257128885e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,sociology,['organic solidarity' 'mechanical solidarity' 'gesellschaft' 'anomie'],1,0.0001257885300585528,0.00018302123129263788,0.9575264688567653,0.042070524378767106,,,,,,,,,,,,,,,,,7.629460012069645e-05,8.041391690978927e-06,7.962055993123762e-07,7.479659406792784e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a growth in income inequality in the 1980s because:,sociology,"['rates of income tax increased equally for all occupational groups'
 'there were more professional jobs available but not enough people to fill them'
 'the price of consumer goods rose at a higher rate than earnings'
 'growing unemployment made more people dependent on welfare benefits']",3,0.99998503033166,5.422155292370903e-06,4.222778787633222e-06,4.222778787633222e-06,1.4449554415922725e-07,,2.6995321624244547e-07,5.3156940037059986e-08,6.825486208093125e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a deviant act is 'normalized', it is:",sociology,"['recognised as breaking an important norm of behaviour'
 ""seen a temporary aberration from an otherwise 'normal' character""
 'the first step in establishing a deviant career'
 ""attributed to the person's genetic or anatomical make up""]",1,,,3.744271178964944e-05,0.9948381384726193,,,,,,,,,,,,,,,,,,,,,0.004606909662991082,0.0003426644007543248,6.17325953602895e-05,3.985755922694024e-05,1.3774403889119612e-05,1.0727516535188158e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the debate about the 'managerial revolution', John Scott (1997) argued that:",sociology,"['owners still exercised control through groups of shareholders and interlocking directorships'
 'ownership and management were becoming increasingly separate functions'
 'the techniques of scientific management were overly bureaucratic and inefficient'
 'managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses']",0,9.848972352782528e-07,0.9819436891750895,0.01798526148071542,3.471882430655721e-05,,,,,,,2.7039047557265278e-05,,3.659337159610737e-06,,,,,,,,,,,,,,,,,,2.339335980481427e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marxist feminists explain patriarchy in terms of:,sociology,"['a lack of equal rights and opportunities for men and women'
 'sex classes, through which men oppress women economically, politically and sexually'
 ""women's domestic labour being exploited by the capitalist economy""
 'the dual systems of capitalism and male domination']",2,0.9999938039517143,3.726621186095193e-06,1.2098567629757041e-06,8.315215820659519e-07,1.2751796464856653e-07,,3.8890819008076346e-08,3.0288200297778136e-08,,,,,,,,,,,,,,,,,,,,,,,,2.0816755338536442e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
