question,subject,choices,answer,c,the,d,b,a,3,yes,not,none,s,Ð°,option,(,all,e,options,choice,ab,Ð±,other,national,4,n,business,bus,comput,both,cho,con,Ð´,ad,sol,2,ba,bl,and,or,Unnamed: 41,&,',Ñ,state,states,g,1,inc,poss,maybe,possible,trans,wrong,when,cd,bo,f,ac,\,bc,pe,.,in,involved,within,",",that,on,among,towards,multiple,there,correct,db,true,?',an,aid,p,per,no,ap,o,k,soc,res,false,best,intern,global,cl,is,would,to,for,should,can,does,century,-,centuries,siÃ¨cle,cent,third,worldwide,vulnerable,online,ind,h,as,under,according,dis,bb,**,di,agents,agent,ag,agencies,9,bd,eff,correctly,defined,accurate,valid,applicable,appropriate,with,market,mark,w,first,partial,unknown,part,one,any,abc,med,{',:,therefore,comprehensive,act,cor,social,strong,ce,acy,cy,ancy,ity,acies,icity,acity,ality,ency,icy,pre,mal,ve,v
Which of these principles is not an element of the responsibility to protect?,security_studies,"['The responsibility to prevent.' 'The responsibility to react.'
 'The responsibility to remain sovereign.'
 'The responsibility to rebuild.']",2,0.9960841103841428,0.0034468745608199,0.0002157323468647,0.0001578331566356,8.44820008884378e-05,4.477382017117783e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can environmental changes be reconciled with national security interests?,security_studies,"['Environmental challenges to economic growth, such as natural resource management and employment, leads to diversification and research which may in the long-term result in technological advancements that bolster military programs.'
 ""Environmental changes can undermine national security in many ways; including weakening the economic base that determines military capacity. So if the natural capital base of an economy erodes than so does the long-term capacity of its armed forces. Any developments however, will be 'human' in impact.""
 ""The environmental problems encountered by countries are principally internal. External threats remain within a country's control: external military threats will remain unchanged and a primary concern.""
 'All of these options.']",1,0.000203259686307,,0.0002451779821114,0.0003148147606432,0.9990119028163196,,4.569932098607365e-05,1.7760633454300342e-05,1.011970389860178e-05,9.50658203415097e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements could be described as a liberal perspective on future energy security?,security_studies,"['The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.'
 ""Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.""
 'Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.'
 ""Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.""]",0,7.734377650551035e-08,,1.1979249870549604e-07,1.9947241888728423e-06,0.999997056122294,,,,,3.8890893186497553e-08,3.466310883964243e-07,6.023539370819119e-08,2.3588519101219924e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a common criticism of the human security concept?,security_studies,"['Human security is neo-colonial.'
 'Human security promotes global capitalism.'
 'Human security is too broad.' 'All of these options.']",3,0.9900872758206782,,0.0031511784934417,0.0024541402782902,0.004046193278099,,,,0.0001416918421918,,,,,3.966746419181847e-05,9.421848586280478e-06,5.043152133582117e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways have governments responded to the threat of TNC post-Cold War?,security_studies,"['State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.'
 'With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.'
 'The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.'
 'The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.']",1,8.314359423924886e-07,,2.237779480971464e-07,0.9998889190456636,0.0001088966185038,,,,,,,4.139471863029541e-08,,,,,4.450355902470364e-07,3.6530710974596544e-08,2.8450146313170947e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What potential problem for policy in the institutionalization of academe-policy interaction emerged?,security_studies,"['The main disciplinary context for security studies theorizing was a move away from the disciplinary domination of political science toward multi-academe interaction from sociology, mathematics, psychology, natural and political sciences, and economics.'
 'Policy-academe developments have resulted in the modification of the role of think tanks away from policy towards politicization resistant theory.'
 'Security studies has been marked by the gradual ""IR-ification"" of the discipline. Security studies became one of International Relations\' (IR\'s) two pillars, the second being International Political Economy. Henceforth IR became the main disciplinary context in which security studies was deliberated.'
 'Think tanks and policymakers are increasingly interrelated. The institutional blurring between universities, think tank, and policy has resulted in policy mergers at every level.']",2,,0.0251732354505265,0.0251732354505265,,0.4749840505109765,,,0.137123280673125,0.0970927519370152,0.0222153023131224,,,,,,,,,,0.1009089501304793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not one of the 10 steps of the Washington Consensus?,security_studies,"['Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).'
 'Tax Reform: broadening the tax base, cut marginal tax rates, improve tax administration.'
 'Property Rights: legal reforms to secure property rights without excessive costs and to regularize the informal sector.'
 'Nationalization: state enterprises should be protected.']",3,8.397213559772062e-06,,0.9998939629575256,4.832262762205592e-05,4.006086536567287e-05,,,,,,,,,,,,,,,,6.83281794343038e-06,6.89285263498474e-07,2.53573877543529e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following concepts does NOT form part of the technical discourse on cyber-security?,security_studies,"['Business networks' 'Computer experts' 'Anti-virus industry'
 'Computer networks']",0,4.471875160736532e-05,,0.0021546711440792,0.0109423229569548,0.9850238235918976,,,,,,,,,,,,,,,,,,,0.0016935139612926,4.76028632957645e-05,3.4826998769791754e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the characteristics and manifestations of the strategy adopted by the USA in pursuit of energy security?,security_studies,"[""The deployment of troops in the Persian Gulf is part of the USA's attempt to secure its dominance in the oil-rich region.""
 'All of these options.'
 'The USA has sought to assert its primacy vis-Ã -vis friendly and rival powers, through the deployment of troops and other interventions.'
 'The USA has actively sought to stabilize oil-rich friendly political actors and secure the economic and political status quo.']",1,0.003591385751254,,7.453683331631846e-05,0.9957984455928046,0.0004860412078579,,,,,,,,,3.982233587050451e-05,,1.8659931102032625e-06,,,,,,,,,,,1.8659931102032625e-06,7.307334012957377e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways do theories of conventional and critical social constructivism differ?,security_studies,"['Conventional constructivists view constructivism as a bridge between rationalist and reflectivist approaches, enabling both to benefit from the insights of the other. Conversely, critical constructivists argue that this approach simply reproduces the binary distinctions that characterize positivist methodology.'
 'Critical constructivism regards the strength of social constructivism to be its ability to bridge rationalist and reflectivity approaches. Conversely, social constructivists regard this as an unhelpful regression to positivist binary frameworks of analysis.'
 'Conventional constructivism refers to the earlier works of social constructivist theorists that are characterised by a rejection of positivist methodology. Critical constructivists challenge these theories, embracing positivist methodologies in their work.'
 'Social constructivism is best understood as a uniform approach to the construction of social identities and security; although distinctions exist within the field, these are not easily defined as distinctive separate approaches.']",0,0.0173498926703283,,0.0012567336401375,0.835912885759486,0.1452608159643306,,,,,,,,,,,,,,,,,,,,,,,,0.0002013628541052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
