question,subject,choices,answer,b,c,a,d,the,flag,s,f,option,Ð°,ab,bc,e,unc,sol,3,cd,1,2,un,h,ac,yes,4,none,true,false,no,ter,',correct,(,abc,v,good,all,not,Ñ,an,p,before,rec,j,g,when,cho
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.9997491701942848,0.0001584042118632,5.14263182213633e-05,2.282029037810359e-05,4.2213292604327885e-06,1.552940249328672e-06,4.449248306699241e-07,3.465078065336491e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,0.0009103444380619,0.000108725190227,0.9983800818323272,0.0005521518125834,1.757379023832081e-06,,,,1.8707202330877272e-06,1.8707202330877272e-06,1.757379023832081e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.877894646655583,0.1188197209400983,0.0010277209225661,0.0021756852101457,,,,,,,2.248129318092303e-06,2.7387821840539897e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,0.0173734950022469,0.0038749827291467,0.7387403382618246,0.2397886171335924,,,,1.0884028993513952e-05,,,,,0.0001032647919257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,0.4356365436415488,0.2058173538713276,0.1247807870306642,0.2331559035061303,,,,,,,,,0.0001461032806004,0.0001211238738794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,0.9998315283769192,9.607581998975598e-05,4.53830038903273e-05,1.300244831050344e-05,,,7.335479377760162e-07,,,,5.041596331126831e-07,1.2874167242974204e-06,,,1.2874167242974204e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,0.185441484382971,0.0046411561797161,0.3056947797899194,0.5040016877482512,,,,1.7818179702253686e-05,,,,,0.0001091495835591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,0.0031640850845444,0.9936825739071412,0.0021728931569389,0.0009057966299471,,,,,,,,,7.836676358316861e-06,,,7.836676358316861e-06,1.981422082889448e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,0.9806844589765064,0.0013010201515802,0.0179618666964114,1.637742672836524e-05,,,,,,,5.316971996344359e-06,7.736148606446442e-06,,,,,,1.1863768130490335e-06,1.0469738628139558e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,0.0371180266262787,0.0026888208303985,0.9574449073585478,0.0023728760544316,4.082758775924036e-05,,,,,,,,2.185343294699544e-05,,,,,,,0.0001614762419995,2.0529400377725907e-05,,,,,,,,,,,,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,0.0292370398676701,0.0023996610331733,0.9681478107157164,0.0001738308622076,,,,,,,6.331788693065046e-06,,,,,,,1.931086446504357e-06,,,,2.055630821995268e-06,,,,,,,,,,,,,,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,"['The principal source of immunity for IOs is the UN Charter'
 'The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities'
 'The principal source of immunity for IOs is customary law'
 'The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities']",1,0.8899538122678211,0.0443155074275353,0.0568933254449062,0.0087234937807599,,,,,,,4.257895821295013e-06,9.595316353618068e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among States under international law?,international_law,"['Yes, the States that were the founding members of the United Nations are vested with more powers and authority'
 'Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States'
 'No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)'
 'Whether there will be any hierarchy among States is a matter of each international organization to decide']",2,0.0002303719476513,0.9993107568648996,0.0002778816118751,0.000158332169755,,,7.805122582002949e-07,,,,,,6.887996502910682e-07,,,1.0021975775655238e-06,,,,,,,2.4041470084956094e-06,,,,,,,,,,,,,,,,,,,,,,,
What is the declaratory theory of recognition?,international_law,"['Recognition is determinate for the existence of statehood'
 'Recognition is simply declaratory of statehood but not determinate'
 'Recognition is merely a declaration of interest'
 'Recognition requires a declaration by the newly-created State']",1,0.982216403296846,0.0035420344678571,0.0140107469257802,0.0001998279106658,,,,,,,2.51546216346967e-06,1.728850176157048e-06,,,,,,,1.728850176157048e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the function of ""standard-setting in human rights diplomacy?",international_law,"['Standard-setting means putting forward binding legal standards'
 'Standard-setting means merely proposing binding legal standards'
 'Standard-setting means putting forward non-binding legal standards'
 'Standard-setting means setting certain standards of conduct in human rights treaties']",2,0.0006612915340273,0.005904232354804,0.0019135105007765,0.991412668907785,,,,5.049023168432962e-06,,,,,7.419485384529245e-05,,,,,,,,,,,1.9772258819798677e-06,,,,,,,,,,,,,,,,,,,,,,
What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,international_law,"['The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights'
 'The Kadi judgment demanded that all UNSC resolutions be incorporated without any further implementing legislation'
 'The Kadi judgment required that important UNSC resolutions be transformed and not merely incorporated'
 'The Kadi judgment claimed that UNSC resolutions are not binding if they violate human rights']",0,0.3097419378359881,0.0087854759586641,0.6557715444170864,0.0254216115406239,1.8053781743611767e-05,,,,,,,,7.600926020870644e-05,,,,,,,,,,,,1.2408170634016552e-05,,,,,,,,,,,,,,,,,,,,,
Magna Carta was,international_law,"['An agreement in 1689 which guaranteed freedom of speech in Parliament'
 'An agreement in 1215 between the King and his barons, which guaranteed certain protections for subjects'
 'A constitutional document in the 19th century guaranteeing the right to vote'
 'A document setting a complete Bill of Rights for England']",1,0.9854927035494964,0.0002272004247992,0.0140594782228447,0.0002005036711512,,,,,,,,,,,,,,5.343241848807184e-06,1.8465749717300596e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do individuals (physical) persons enjoy international legal personality in the same manner as States and international organisations?,international_law,"['Individuals enjoy international legal personality, but this is limited'
 'Individuals enjoy unlimited international legal personality'
 'Individuals do not enjoy any international legal personality'
 'Individuals can only bring claims before international courts']",0,0.0666587852029544,0.0102203738352,0.920174094931192,0.0027507763003913,,,,,,,,,,,,,,,,,,,,,,4.615585511196294e-05,2.49954373983442e-05,,,,,,,,,,,,,,,,,,,
Is there any hierarchy or priority among the various methods of peaceful settlement of disputes?,international_law,"['Yes, all the political methods (e.g. negotiation, mediation, inquiry, conciliation) should be exhausted prior to resorting to legal methods'
 'Legal methods prevail over the political methods, since they are binding upon the parties'
 'There is no hierarchy among these methods and the choice belongs to the disputing States'
 'It is a matter of an impartial third party to decide which method will have priority over the other']",2,0.0399189126739431,0.0114369572397443,0.9085938068040178,0.0399189126739431,,,,,,,,,8.646073212595406e-06,,,,,,,,,,6.325602291351701e-06,,2.5018242380978176e-05,,,5.942353422658642e-06,,,,,,,,,,,,,,,,,,
