question,subject,choices,answer,a,b,d,Ð°,c,ab,option,s,cl,Ñ,e,none,false,inc,sol,Ð±,l,law,options,3,cho,choice,br,not,wrong,soci,rec,4,cd,ind,individual,Ð´,j,f,st,bst,bc,(,1,g,men,o,bo,the,pr,cod,stat,le,both,don,because,ad,it,civil,that,anal,im,imp,Unnamed: 62,equ,un,neutral,balanced,there,dc,command,comm,des,legal,leg,ac,sc,its,i,2,an,mer,.,correct,no,this,?',h,to,john,sal,ba,greek,void,vo,v,qu,interpret,inter,make,hob,priv,sav,sa,hart,is,',should,would,must,still,remains,does,isn,doesn,u,ul,federal,fed,jeremy,aj,commun,r,related,over,_,of,",","""",only,order,{',and,:,as,(',;,({
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.9999880752595612,9.51621519804834e-06,8.315176170715234e-07,5.04340928845068e-07,3.256269775260925e-07,3.028802698780169e-08,2.3588339135787804e-08,2.0816636224447727e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,2.1444467548209252e-05,1.3006727049201516e-05,3.5007130942097004e-06,,0.9999595868645872,,,1.2751346513546445e-07,2.382265157575061e-07,1.2751346513546445e-07,9.32908439942485e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,0.0001312401993536,0.0001793840838838,0.999035067603156,,0.0002032687971577,,,,,,3.117227964873824e-05,0.0002234930403838,2.427699580055816e-05,1.56744065647265e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,7.338131211462616e-07,4.78506263111966e-06,2.2603035397118435e-06,,0.9999912608226686,,,9.931080659307213e-08,,9.931080659307213e-08,6.825525263950225e-08,,,,8.764147921156396e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,1.1253496007565217e-07,0.9999993442215483,1.35743072960634e-07,,1.8553878237411747e-07,,1.3440384315611926e-08,7.194119308618671e-09,,,,,,,1.7257795071296986e-08,3.224180587614433e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.9998617490701054,0.0001233920337593,,6.082718064337874e-07,6.163852011639988e-06,,,,,,,,,,,,2.9019024906090443e-06,3.0914129156632074e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,0.995905164352078,0.000202633568773,0.0035917659477481,6.058633993029837e-07,0.0002948301028782,,2.861896053607033e-07,2.0938078812396217e-07,,,,,,,,,,,2.525614402827284e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,1.5534749820936157e-06,3.2887065628995586e-06,5.422160463343611e-06,,0.9999892465736154,,,,1.262587993821064e-08,3.8890448118092576e-08,9.931023833370439e-08,,,,,,,,,4.99363238500068e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,1.300693792199686e-05,0.9999839695183824,1.3709211709027762e-06,,1.3709211709027762e-06,,,,,,,,,,,2.0816318590209952e-08,,,,,4.1398192759112965e-08,2.2158855794347323e-08,1.1860780806828653e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.0004874691041536,0.0003796413200379,0.0003796413200379,,0.9987366903606923,,,7.328801565502021e-07,,,1.208315102978358e-06,,,,,,,,,1.4575062280447229e-06,,,,9.410367483965504e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
