question,subject,choices,answer,d,a,b,c,e,f,the,4,bc,1,Ð°,s,(,none,not,no,pres,sal,cd,ab,g,3,2,const,sol,h,p,st,v,false,true,',brown,correct,i,iii,Ñ,Unnamed: 41,white,Ð±,mar,option,ent,ac,ad,inc,in,th,gr,j,t,ten,all,both,cl,ii,fr,due,social,n,state,national,pol,political,polit,ch,congress,con,peer,pe,first,am,5,iv,w,rules,john,loc
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.8715418948375073,0.1180008444674845,0.0080262339095486,0.0021602315508013,0.0001010353741244,1.549427644901934e-05,1.3673650974049011e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,0.9762059199074992,0.003106544361102,0.020264014235923,0.0003710238140986,1.4386154478379725e-05,3.871980950109899e-06,,3.637389483498173e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,0.0001275699760198,0.0214539712176925,0.912285345477579,0.0660877034671916,1.2506520378271244e-06,,,,1.9563489442939488e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,0.1348101284819222,0.6041831990921762,0.2222614823009371,0.0386309755805716,4.247916451032445e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,8.39681315897337e-06,0.999893880683654,7.966674511959849e-05,9.514835841781846e-06,,,,,,6.474927049410314e-07,5.042678256410974e-07,4.7371578256379517e-07,2.23767491188672e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,0.009174931371727,0.8259010881102236,0.1435200911195431,0.0171410284449471,,,,,,,,,,0.0027546986449894,0.0006864828480253,0.0003797561489153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,0.0248243206587607,0.1618748855038615,0.7256031928250637,0.08664539278508,3.50606396348594e-05,,,,,,,,,0.000192100064383,,,0.000613942577695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.0080229890944561,0.6373844024523873,0.3411750312521098,0.0132276727746249,3.278812268233197e-05,,,,,,,,,2.283982576706587e-05,,,,1.366812304282362e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,0.001234491825424,0.004586693563754,0.9905664223635764,0.0035721205391602,,,,,2.1031047115488694e-06,,,,,,,,,,1.2755974881404833e-06,1.1614447299022552e-06,9.33247058568656e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,0.0003566053248355,4.533727934043532e-05,0.0009106235981891,0.998674642793873,1.551356388400068e-06,3.684794400817559e-07,,,,,,,,,,,,,,,,8.303812365970819e-07,5.361344217822767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following people would most likely be accused of influence peddling?,high_school_government_and_politics,"['A congressperson who retires to take a position teaching political science at a university'
 'A former president who advises a current president on a particular foreign policy issue'
 'A voter who researches the positions of all candidates in a race before choosing whom to support'
 'An official who leaves the State Department to work as a paid consultant to foreign governments']",3,0.3914205615197409,0.0133864557455594,0.0250280922346862,0.569756039941313,0.0001583010673615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following does the Supreme Court NOT have the power to override?,high_school_government_and_politics,"['Constitutional amendments' 'Presidential executive orders'
 'Laws passed by Congress' 'Laws passed by state legislatures']",0,0.0024161626379497,0.9748233996317448,0.020230277258922,0.0024161626379497,1.2678857898056076e-05,,,,,,,,,,,,,,,,3.412468309317968e-06,,,4.669497476304244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to The Federalist Papers, federalism has which of the following effects on political factions?",high_school_government_and_politics,"['It provides a structured environment in which factions may flourish.'
 'It limits the dangers of factionalism by diluting political power.'
 'It allows factions to dominate on the national level while limiting their influence on state governments.'
 'It eliminates any opportunity for factions to form.']",1,0.0001158762985607,0.0001583841213556,0.9996114720456912,9.606482561383696e-05,,,,,,,,1.993761848567618e-06,,,,,,,,,,,,,6.958912627004088e-06,3.688088578298128e-07,2.963462426427341e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements about voting patterns is NOT true?,high_school_government_and_politics,"['Non-whites are more likely to vote Democratic than are whites.'
 'Women are more likely to vote Democratic than are men.'
 'Low-income Americans are more likely to vote Democratic than are upper-income Americans.'
 'Evangelical Christians are more likely to vote Democratic than are non-religious Americans.']",3,0.991087237681238,0.0075658148898988,0.000483666364197,0.0002284678131325,0.000583412999122,1.8753780126591627e-05,,,,,,,,,,,,,,,1.0685581814912024e-05,,,,,5.719579786806355e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The legal principle that instructs judges to follow established precedent when deciding cases is commonly referred to as,high_school_government_and_politics,['certiorari' 'de jure' 'ex post facto' 'stare decisis'],3,0.9997611049745504,4.783766803472064e-06,6.603786372737516e-05,0.0001584165997619,1.6532255697646584e-06,2.535303524384472e-07,,,,,,4.449596257278825e-07,,,,,,,,,,,,,,,,3.4998785586562804e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters in which of the following categories would be LEAST likely to vote?,high_school_government_and_politics,"['Blue-collar workers who belong to a union' 'Professionals'
 'Voters who are active in their political parties' 'Voters aged 18-29']",3,0.7411844411268593,0.0689505706278539,0.1288191617022859,0.0608824108089816,,,,,,,,,,,,,,,,,,,,,,,,,1.5891555801019823e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While ratifying the Constitution, the primary point of disagreement between Federalists and Anti-Federalists was over",high_school_government_and_politics,"['whether representation in Congress should be equal among states or proportional to population'
 'the strength of the federal government relative to the states'
 'the future of the slave trade' 'whether people had inalienable rights']",1,0.0016927044465199,0.7269739281676895,0.2674433189214421,0.0038145683547031,,1.7490675075174055e-06,,,,,,,,,,,,,,6.498574161514352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The legislative successes of the National Rifle Association, antiabortion activists, and other powerful interest groups demonstrate that",high_school_government_and_politics,"['United States domestic policy grew more conservative in the 1990s'
 'the influence of political action committees has weakened in recent years'
 'the power of interest groups depends on the degree of support for their positions in the White House'
 ""majority opinion on an issue can sometimes be overridden by the intensity of a minority's commitment to activism""]",3,0.0095157805030712,0.9707556659762316,0.0122185040255651,0.0074108973073274,1.3439610153360888e-05,4.944156272780446e-06,,,,,,,,,,,,,,,,,,,,,,,,1.0062640369061532e-05,3.6172220011207504e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The exclusionary rule was established to,high_school_government_and_politics,"['create ""separate but equal"" facilities to facilitate racial segregation'
 'allow private organizations to restrict their memberships'
 ""limit the government's ability to use illegally obtained evidence""
 'deny control of interstate commerce to the states']",2,0.7052313423492136,0.0001347868867783,0.0655991696346347,0.2289623689312006,,,,,,,,,,,,,,,,,,,5.563319233906759e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The opinions of congressional committees often fail to accurately mirror public opinion because,high_school_government_and_politics,"[""the membership of committees often overrepresents constituencies with the greatest stake in the committee's business""
 'most committees are too small to include representatives of all popular opinions'
 'the minority party controls nearly half of all committees'
 ""committee members often lose track of their constituents' priorities because of their frequent contact with special-interest lobbyists""]",0,0.0564978096160615,0.3251191242538851,0.5360080226709519,0.0822175356954555,3.5402713917887004e-05,6.152069206359184e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congress would be required to use the ""elastic clause"" of the Constitution to",high_school_government_and_politics,"['change citizenship requirements' 'impose workplace safety standards'
 'increase tax rates' 'authorize the treasury to print money']",1,0.9899493609672514,0.0051961022067793,0.0015839953395049,0.0031543304398711,6.959586490571522e-05,6.890923792343268e-06,,,,,,,,,,,,,,,,,,,,,,,,,,5.041507544358598e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The House Rules Committee is considered among the most powerful in the House of Representatives because it has great power over the,high_school_government_and_politics,"['ethical conduct of House members' 'selection of federal judges'
 'number of subcommittees that a standing committee may establish at any given time'
 'scheduling of votes and the conditions under which bills are debated and amended']",3,0.1261220147209673,0.0193377411546708,0.0318898960026392,0.8225206284689915,1.55617149382065e-05,6.094055130542061e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
