question,subject,choices,answer,b,a,c,d,total,ab,option,,1,mp,-,+,(,<<,$,sol,б,2,4,e,sub,д,f,а,ad,ac,cho,с,3,r,rac,false,pat,inc,true,constant,the,price,right,j,h,s,plant,both,given,options,provided,available,listed,presented,current,multiple,g,market,mark,{',not,pop,none,dis,i,iv,ii,iii,mon,douglas,dou,doug,do,dol,du,l,correct,an,cl,hom,choice,place,bc,p,best,ch,one,how,public,vol,intern,international,ba,db,el,progress,pro,**,dem,k,mc,com,de,dec,':,"',",:,_,',';,:',air,ind,super,single,initial,init,fe,in,most,only,characteristic,statement,possible,lab,m,wrong,op,opportunity,less,pay,min,bo,sc,cd,all,abc,more,mr,redu,reduce,red,set,external,dim,tax,no,this,their,transaction,our,that,what,these,compare,comp,compar,incre,fact,factor,explanation,answers,response,che,invalid,scar,autom,therefore,since,however,there,so,reg,regulations,policies,policy,regulation,subs,intervention,wage,al,mand,dead,she,.,er,",",and,per,hired,being,(',w,where,at,when,law,up,left,horizontal,as,because,correctly,accurately,be,supp,sup,7,6,5,inter
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9999565977282058,3.535591606752606e-05,3.089365516227444e-06,1.7602674104623792e-06,5.794817202401436e-07,1.6373037405833553e-07,1.4449154796549828e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,,,,,,,,0.9999933293567467,2.5612643447053347e-06,1.136554163369572e-06,7.8114149124915e-07,5.043428527566997e-07,3.466294355345337e-07,2.1024138021057844e-07,9.931099601358393e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9999915224314918,6.144153757832456e-06,1.209855609166933e-06,1.9750349891375198e-07,,,,,3.2241559891625255e-08,,,,,,,1.3574203732712616e-07,6.023516392883777e-08,3.0288142527675796e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,2.4060805934956815e-06,3.966956253515118e-06,2.5612594594859474e-06,0.9999906101283509,,,,,,,,,,,,,,,8.233155041563885e-08,7.265733822678875e-08,6.023504903948976e-08,3.224149839578872e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,2.144409943268609e-05,6.961879791099327e-06,2.429934809955945e-05,0.9999463134112268,,,,,,,,,,,,,,,1.9749332805887269e-07,3.466115851283125e-07,,4.6908777046431466e-08,4.9934133240539564e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,1.993598334918828e-06,0.9994352247268916,7.884834369290677e-06,0.0005527695647444594,,,,,,,,,,,,,,,,,,,,6.080131398813017e-07,1.197248859201891e-07,4.6884983692567374e-08,4.6884983692567374e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,7.889121685961138e-06,1.7603009852189593e-06,0.9999765945894339,1.3006962730785783e-05,,,8.764030907938658e-08,,,,,,,,,,,,,7.734230130411525e-08,,,,,,,,8.764030907938658e-08,2.6728784113724306e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,6.52913139633463e-06,1.382217127450675e-05,0.9982759537066914,0.0017006637874412047,,,,,,,,,,,,,,,,2.0987858482542953e-07,,,,,,,,,,1.4005950487962334e-06,3.921048176517045e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.00756965441583594,0.9914505345621825,0.0002147345670561942,0.0005151214476718253,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71689497319928e-05,3.5054454440667314e-05,1.7626486641311202e-05,1.2114495291325483e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.8694343651424864,0.010944358051590055,0.11766762387110272,0.000580029727205407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013287928050288863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
