question,subject,choices,answer,a,d,c,b,s,h,sol,Ð°,none,e,3,cd,',f,l,law,Ñ,2,Unnamed: 22,st,4,g,all,ab,?',n,bc,option,1,cod,qu,ad,the,anal,command,leg,legal,and,or,&,(,ac,san,hist,sal,r,void,interpret,inter,not,power,u,ul,ba,util,make,m,dis,ob
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.9988770208951656,0.0010321202290972,4.827288247164301e-05,2.750505933259661e-05,1.5517292643674437e-06,1.135269381705097e-06,8.841486834689193e-07,8.841486834689193e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.2828905013836786,0.0263148973383975,0.0918491486432358,0.5988763920924146,,,,,5.698476721014135e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,5.812656754931244e-05,0.0021811843955753,0.9972965554696366,0.0004295006732619,,,,,,3.715907142714758e-06,2.399169971036662e-06,2.399169971036662e-06,1.4551701452956063e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,0.0466571776430798,0.0151438863888983,0.9370440368622928,0.0010970194505661,,,,,,1.7731659497221804e-05,,,,2.2543275262805838e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,1.01257278534894e-05,0.0001022662285928,6.602803979429287e-05,0.9997864452799408,1.2093457334032385e-06,,2.0137414389027443e-05,,,,,,2.668095139042425e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.9997807007936323,4.493950167661841e-06,5.25667847187523e-05,0.0001398026919118,1.0027358206094496e-06,,,,,,,,,,2.2597000541281782e-06,1.0027358206094496e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,0.0781793829698213,0.8400712751160508,0.0034321638331215,0.0781720513762657,,,,,,2.620489424044653e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,0.0001158656902543,0.0001910302280667,0.9995557963535798,0.0001233383852544,3.80481271997726e-07,,,,,1.7593275772284215e-06,1.7593275772284215e-06,,,,,,5.040557901243594e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,4.831184515777262e-05,5.142769147054657e-05,4.005192638881629e-05,0.9998476989100212,1.06734768484411e-06,,2.901351816359576e-06,,,,,,,,,,,3.255226521010958e-07,2.784342794073921e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.9868299634971122,0.0027713041117218,0.0027757393142777,0.0075331856080273,9.389323884490169e-06,,,,,5.3498754852183305e-06,,,,5.0257429152396815e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
