question,subject,choices,answer,c,b,a,the,d,flag,just,Ð°,correct,ab,sol,Ñ,s,option,4,four,Ð´,e,it,false,3,choice,Ð±,un,options,cd,most,principal,best,closest,available,given,yes,bc,cho,ad,an,1,ind,in,ter,t,j,ac,abc,bas,wrong,not,i,its,f,**,port,none,all,both,9,art,res,co,no,there,inc,rec,p,univers,2,provided,answered,clear,determin,specified,address,from,im,ba,function,em,k,compet,comp,ca,collect,states,natural,dc,',or,Unnamed: 92,and,"""","',",de,prote,cl,der,act,acts,true,they,good,\,mon,we,when,personal,person,second,but,y,o,(
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1,0.851450750959067,0.147961491854397,0.0005336158753291,3.0162677836197135e-05,5.231385963365018e-06,1.4988171727311444e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0,3.255816415379382e-07,0.0001398202920828,0.9998550313439152,,,,1.756797444305755e-06,6.47496409934608e-07,1.5379387764903662e-07,1.4447597764424249e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2,0.9999159427440116,6.605064962373677e-05,9.421619160743348e-07,,1.3006144065735275e-05,,,,,,8.850792112456037e-07,6.893003827982976e-07,1.444852094021339e-07,1.2750774976666982e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0,4.4950517442189e-06,1.4738707249646331e-05,5.422067386589378e-06,,0.9999693704063018,,,,,,,,1.9749879011952757e-07,,3.726528783685065e-06,1.855329433281412e-07,1.538122124007431e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2,0.1050887455534012,0.0024711967994844,0.0125497728711202,5.198187645257191e-05,0.8798249233163233,,,,,,,,,,,,,8.824597030155708e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1,2.2602884506081773e-06,0.999989533390162,2.1233444962277533e-06,,4.1811132178781243e-07,,,,,,5.043385239658489e-07,,1.6373474618938106e-07,,,,,,3.4737491948425524e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2,7.410437217852325e-06,7.484276463469027e-05,0.9998955878334674,1.0675747011453991e-06,4.7845378698927614e-06,,,1.0028936197851805e-06,,,,,,,,,,,,7.35318885318352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2,0.9998935521274396,3.321130715843073e-05,1.4737428215830148e-05,,5.143867878422219e-05,,,,,,,4.1806865856749253e-07,,1.178765116640341e-06,,,,,,,6.475174052986608e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1,2.260292761770375e-06,0.9999856948372924,9.516187971977215e-06,,7.338096220609707e-07,,,,,,5.6585268122479276e-08,,8.233107931207634e-08,,,,,,,,,8.233107931207634e-08,6.825486208093126e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0,8.850766790172909e-07,7.484497731169222e-05,0.9999195733704076,1.7915731037791075e-06,2.382151565028557e-07,,,2.873423276442976e-07,,,,,,,,,,,,,,,,4.7374740755963894e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The UN Vienna Declaration 1993 declared that,international_law,"['Third generation rights are of primary importance'
 'Civil and political rights are core rights'
 'All types of rights are indivisible, interrelated and interdependent'
 'Social and economic rights are non-enforceable']",2,0.9784480641773888,0.0074704001257167,0.0074704001257167,,0.0065926049720126,,,,,,,,,7.271793656653025e-06,,,,,,,,,,,2.5060400576562106e-06,7.179924976422917e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the principal source of immunity in respect of international organisations (IOs)?,international_law,0.004423632843585651,1,,,,,,,,,0.351412599549255,,,,,,,,,,,,,,,,0.0120246807744934,,0.0136257484182397,0.010611743538059,0.010611743538059,0.0050126327136446,0.0020895761969164,0.0019629751751274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
