question,subject,choices,answer,a,b,d,c,1,s,correct,ab,а,the,ch,4,e,',n,db,both,(,none,bc,ac,all,2,f,h,g,с,3,security,,an,rich,aut,r,reagan,w,not,in,re,i,iii,cd,mon,ad,intern,im,super,real,l,national,da,cor,cond,we,wealth,j,jefferson
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9990267154539776,0.0009109580083371564,3.318164302813154e-05,1.6684777923503858e-05,1.369569972890871e-06,6.469390468320657e-07,5.03836636272281e-07,3.923883668689151e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9997834994814527,0.00016863439675676945,1.6697066390265518e-05,2.014050655652865e-05,4.4496174746577555e-07,,,4.7365931460772594e-07,1.0674077427560759e-06,4.4496174746577555e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,0.00012334744268511935,4.537698828492822e-05,0.9996731716390722,0.00013977096386839203,,,,,,,3.964997048018027e-06,1.7594567745374218e-06,1.1359906737936582e-06,9.417693465563153e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.999815659645235,0.00011590227090973658,2.752920232150432e-05,2.5861292269656223e-05,7.336283922579921e-07,6.08199299105748e-07,,,6.08199299105748e-07,,,,,,2.405474890789754e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.09527587698730622,0.0004411571023941481,0.9038620940019051,0.00038931977641603086,2.9724931742018902e-06,2.464283395005852e-06,,,,,,,3.5855111829197087e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,0.0034774778564115004,0.020024457500794363,0.9642850858909715,0.012142818524850411,,,,,,,,,,,,9.767524272197053e-06,4.071709895366916e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9991077240674614,0.0006261269017153333,0.00019095791604961966,3.7601843142832456e-05,,1.7586616065742744e-06,,1.9928246789576586e-06,1.3696470363576598e-06,,,,,,,,,1.2087092672198055e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.564516523240294,0.34236419505478805,0.08655171869539002,0.006269786968024455,,,,,,,,,1.3715103305452297e-05,,,,,,7.892497018325083e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,0.0001394813455883147,8.459971255728632e-05,0.9975670754892247,0.002183845978678604,,2.1179123626990955e-06,,,,,,,4.4836205070181745e-06,9.39817913935188e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,7.48410516393564e-05,1.892278124609703e-05,0.9998806463158735,2.3217960937709882e-05,8.762977859279327e-08,,,,,8.762977859279327e-08,,4.737225591708916e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
