question,subject,choices,answer,a,b,d,c,Ð°,cho,option,choice,ab,correct,ac,ch,china,e,rich,n,4,Ð´,s,both,true,new,congress,options,not,none,it,all,pres,the,Ð±,required,requ,require,an,dc,cost,sol,limited,lim,Ñ,they,cont,contains,press,sor,ge,3,ba,bc,security,cd,con,ca,prov,sel,strong,provider,f,yes,2,g,gun,ide,nixon,richard,aut,antic,ant,cÃ­,r,ronald,1,cl,i,we,there,this,no,br,**,re,reagan,ag,li,dom,bet,mil,states,mon,one,ci,ai,im,intern,national,super,class,econom,real,cond,false,reg,be,vol,emp,j,th,thomas
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9996013129416154,0.0003799752807908,8.394747394259664e-06,7.886135361186917e-06,3.057786514837536e-07,1.3568845407613566e-07,1.1974464043868184e-07,7.731295064687271e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9999142820912944,8.481071290561461e-05,1.1141492381620752e-08,2.1022473921941785e-07,3.689559075753036e-07,,,,2.8450797492795165e-08,1.1860056904310837e-08,1.1141492381620752e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,7.873653193315745e-06,3.282226972413738e-06,0.9980185501839416,2.4252559228588416e-05,,,,,,,,0.0019320308912754,9.497438655227551e-06,1.207463824409401e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9999479718083112,1.3006565795841257e-05,6.475587805086693e-07,8.314819329724497e-07,,,,,,,,,,,2.3830192530450123e-05,1.1132482286269318e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.0002611808323259,1.8919876035692443e-05,0.9997060293846188,1.3003427955385658e-05,,,,,,,,,,1.1975743122924034e-07,,,9.928239760752705e-08,1.2369505932460245e-07,2.8444883158337163e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,2.7264049005190697e-06,3.7265536610316345e-06,0.9999848674608568,2.561220378066289e-06,,,,,,,,,,1.2098348407972111e-06,,,,1.742932340736705e-07,,2.705342415622265e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9999905111191072,6.962225046689487e-06,3.256275986108552e-07,1.1253388686375845e-07,8.31519203067026e-07,,6.825525263950225e-08,,1.1253388686375845e-07,,,,,,,,,,,,1.444963709717286e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,1.9946994589021863e-06,8.939622763571181e-06,0.99998575796099,2.7264309016663503e-06,,,,,,,,,,,,,1.1253324294153495e-07,8.331425616142083e-08,,,,7.265692247935403e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,8.939528983688169e-06,8.939528983688169e-06,0.9999763457119252,4.784985054095847e-06,,,,,,,,,,6.023401504521874e-08,,,8.763997475877686e-08,2.074297316629469e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,2.144467205956373e-05,3.08939792513145e-06,0.9999712453352828,3.2949936366276294e-06,,,,,,,,,,,,,1.9749860177009368e-07,5.3156027545539856e-08,,,,,8.763947328025349e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
